Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Porto,0.049528,0.816208,0.11255,0.02168,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sporting,0.947898,0.049335,0.002525,0.000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benfica,0.001985,0.097078,0.530425,0.362746,0.007755,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braga,0.000589,0.037367,0.352355,0.590268,0.019375,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guimaraes,0.0,0.0,0.0,6e-05,0.051196,0.721218,0.173026,0.040987,0.010386,0.00236,0.000596,0.000136,2.8e-05,7e-06,0.0,0.0,0.0,0.0
PacosFerreira,0.0,1.2e-05,0.002145,0.025004,0.917675,0.053346,0.001759,5.6e-05,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RioAve,0.0,0.0,0.0,0.0,0.00014,0.014975,0.104256,0.207485,0.234905,0.165648,0.10904,0.07022,0.043816,0.025894,0.01408,0.006512,0.002458,0.000571
SantaClara,0.0,0.0,0.0,0.0,0.003377,0.162286,0.466823,0.208523,0.095041,0.039059,0.015776,0.006029,0.002199,0.000694,0.000155,3.2e-05,6e-06,0.0
Moreirense,0.0,0.0,0.0,0.0,0.000436,0.043538,0.192524,0.310882,0.207704,0.115811,0.064271,0.034481,0.01791,0.008151,0.003112,0.000975,0.000188,1.7e-05
Famalicao,0.0,0.0,0.0,0.0,1e-06,0.000606,0.007739,0.030312,0.062843,0.102189,0.131752,0.14323,0.142142,0.129926,0.106044,0.076071,0.045736,0.021409
Belenenses,0.0,0.0,0.0,0.0,8e-06,0.001573,0.021731,0.071399,0.131655,0.176061,0.164572,0.138247,0.109782,0.080831,0.054179,0.031783,0.014313,0.003866
GilVicente,0.0,0.0,0.0,0.0,3e-06,0.001409,0.018538,0.066915,0.113275,0.146888,0.153454,0.141211,0.119921,0.094242,0.068584,0.044267,0.023402,0.007891
Boavista,0.0,0.0,0.0,0.0,0.0,6.4e-05,0.001964,0.009509,0.026077,0.047797,0.071714,0.095048,0.116705,0.136392,0.149162,0.146074,0.120544,0.07895
Portimonense,0.0,0.0,0.0,0.0,0.0,0.000308,0.004298,0.020359,0.042414,0.06912,0.094076,0.115838,0.131319,0.137874,0.132807,0.115541,0.084887,0.051159
Tondela,0.0,0.0,0.0,0.0,0.0,0.000593,0.006714,0.029236,0.060801,0.098969,0.126615,0.14276,0.143677,0.13224,0.110018,0.079891,0.0477,0.020786
Maritimo,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.000196,0.001571,0.006115,0.01415,0.025798,0.042293,0.064291,0.09428,0.133069,0.177508,0.222055,0.218663
Farense,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.000375,0.002277,0.00715,0.017833,0.033048,0.052851,0.077838,0.109026,0.14575,0.184857,0.201159,0.167821
Nacional,0.0,0.0,0.0,0.0,0.0,1e-06,5.7e-05,0.000489,0.001631,0.004115,0.009288,0.017656,0.030372,0.050443,0.08304,0.136489,0.237552,0.428867
