Team,CL-G,CL-3Q,EL-G,ECL-Pl,ECL-2Q,D-P,D
Porto,0.865736,0.11255,0.021667,4.7e-05,0.0,0.0,0.0
Sporting,0.997233,0.002525,0.000242,0.0,0.0,0.0,0.0
Benfica,0.099063,0.530425,0.366818,0.003688,6e-06,0.0,0.0
Braga,0.037956,0.352355,0.597776,0.011888,2.5e-05,0.0,0.0
Guimaraes,0.0,0.0,3.3e-05,0.051201,0.72124,0.0,0.0
PacosFerreira,1.2e-05,0.002145,0.013464,0.929212,0.053349,0.0,0.0
RioAve,0.0,0.0,0.0,0.00014,0.014975,0.006512,0.003029
SantaClara,0.0,0.0,0.0,0.003376,0.162287,3.2e-05,6e-06
Moreirense,0.0,0.0,0.0,0.000436,0.043538,0.000975,0.000205
Famalicao,0.0,0.0,0.0,1e-06,0.000606,0.076071,0.067145
Belenenses,0.0,0.0,0.0,8e-06,0.001573,0.031783,0.018179
GilVicente,0.0,0.0,0.0,3e-06,0.001409,0.044267,0.031293
Boavista,0.0,0.0,0.0,0.0,6.4e-05,0.146074,0.199494
Portimonense,0.0,0.0,0.0,0.0,0.000308,0.115541,0.136046
Tondela,0.0,0.0,0.0,0.0,0.000593,0.079891,0.068486
Maritimo,0.0,0.0,0.0,0.0,1.1e-05,0.177508,0.440718
Farense,0.0,0.0,0.0,0.0,1.5e-05,0.184857,0.36898
Nacional,0.0,0.0,0.0,0.0,1e-06,0.136489,0.666419
