Team,CL-G,CL-3Q,EL-G,ECL-Pl,ECL-2Q,D-P,D
Porto,0.808489,0.17905,0.012428,3.2e-05,1e-06,0.0,0.0
Benfica,0.783086,0.201544,0.015323,4.6e-05,0.0,0.0,0.0
Sporting,0.394243,0.538818,0.066224,0.000661,4.5e-05,0.0,0.0
Braga,0.014177,0.080067,0.829622,0.054625,0.013071,5e-06,0.0
Guimaraes,3e-06,0.000116,0.013551,0.156002,0.135901,0.019324,0.014153
Moreirense,0.0,5.8e-05,0.00915,0.116643,0.115074,0.028006,0.023646
SantaClara,2e-06,4.5e-05,0.008696,0.105079,0.110355,0.029284,0.023708
Boavista,0.0,0.00012,0.014365,0.151203,0.137022,0.018741,0.012968
Famalicao,0.0,1.1e-05,0.003552,0.053744,0.066994,0.05859,0.059714
PacosFerreira,0.0,4.5e-05,0.007875,0.097811,0.104166,0.031111,0.025489
GilVicente,0.0,0.0001,0.011685,0.1293,0.124982,0.023423,0.018206
Portimonense,0.0,1.5e-05,0.00341,0.051487,0.066415,0.054609,0.052298
Belenenses,0.0,1e-06,0.000774,0.016493,0.026047,0.114808,0.164147
Maritimo,0.0,6e-06,0.001087,0.025034,0.036538,0.092721,0.112626
Estoril,0.0,4e-06,0.002073,0.036102,0.051177,0.067362,0.064085
Tondela,0.0,0.0,0.000138,0.003856,0.007716,0.162155,0.335807
Vizela,0.0,0.0,2.7e-05,0.001096,0.002578,0.155957,0.514587
Arouca,0.0,0.0,2e-05,0.000786,0.001918,0.143904,0.578566
